subject_id,syn_id
S000892,syn111314999
S002899,syn65346725
S001759,syn679319333
S001997,syn60739719
S001236,syn270195421
S003592,syn65346725
S003184,syn265406488
S001864,syn755081718
S002123,syn120175368
S001161,syn4695779
S001781,syn104736740
S003649,syn679319333
S002836,syn65346725
S001012,syn228058204
S002424,syn425341745
S003613,syn662499569
S002697,syn370032046
S003927,syn794683414
S003857,syn433253815
S003368,syn845734643
S001530,syn239885340
S001610,syn626742344
S003427,syn592017771
S002375,syn941141334
S003729,syn780683722
S003711,syn65346725
S000014,syn678243734
S001075,syn654167011
S000617,syn289104741
S000875,syn214397702
S002611,syn777615583
S001935,syn25432723
S003001,syn71255630
S003703,syn587316381
S002466,syn379226076
S003523,syn401191275
S002351,syn257950844
S002094,syn134954351
S003071,syn71255630
S000945,syn774981216
S002548,syn81860846
S000974,syn433253815
S001472,syn385837097
S003907,syn945369067
S000952,syn310680197
S002135,syn71255630
S003060,syn65346725
S002551,syn707944697
S001233,syn561104920
S001504,syn571955587
S001928,syn379226076
S001713,syn774981216
S003073,syn379758911
S003207,syn608226598
S002491,syn788411439
S001797,syn73546848
S000450,syn104736740
S001942,syn142525917
S002502,syn265406488
S003807,syn397005441
S001382,syn22951113
S003995,syn851448085
S001890,syn379226076
S001790,syn794683414
S002688,syn239885340
S002017,syn140833463
S000162,syn899791266
S003529,syn111314999
S000976,syn662499569
S002278,syn4695779
S001561,syn73546848
S003397,syn891306476
S001764,syn212001900
S003110,syn709023039
S001239,syn397005441
S001171,syn794683414
S003307,syn756864264
S001293,syn15111177
S003903,syn238168181
S002222,syn854148012
S001679,syn439678771
S003101,syn397005441
S001230,syn571955587
S003536,syn626742344
S002088,syn609306120
S001586,syn104736740
S002608,syn600550309
S001752,syn587316381
S003298,syn348622918
S000314,syn205256887
S000495,syn379226076
S002960,syn459011213
S002901,syn774981216
S002141,syn14203119
S000548,syn25432723
S001794,syn500193133
S002244,syn10917120
S002289,syn257950844
S000544,syn774981216
S003741,syn214268925
S002688,syn474513560
S003048,syn662499569
S001650,syn104736740
S000901,syn277663908
S001478,syn397005441
S003495,syn371193452
S001682,syn849558264
S002392,syn385837097
S002297,syn369435966
S002207,syn529882352
S003298,syn257950844
S000516,syn340950169
S003660,syn529882352
S002302,syn788411439
S001319,syn428250032
S002417,syn939720156
S000760,syn66640925
S003138,syn430436467
S001438,syn120175368
S000908,syn694486825
S000305,syn942606133
S001608,syn111314999
S000014,syn621555859
S002798,syn111314999
S003929,syn115114598
S003272,syn471994058
S002515,syn232265453
S001370,syn797177355
S001089,syn92900227
S001731,syn385837097
S003741,syn390329991
S002344,syn430436467
S000844,syn891306476
S000737,syn519153386
S001178,syn853713888
S002736,syn257950844
S002929,syn277663908
S003699,syn522625415
S002974,syn285178329
S000657,syn571955587
S000658,syn628681688
S002925,syn379758911
S002253,syn71255630
S002916,syn298077441
S000014,syn945369067
S001033,syn922994539
S003153,syn774981216
S000060,syn555173922
S001730,syn681744679
S001222,syn39911804
S001164,syn379758911
S003153,syn628681688
S000629,syn941141334
S002652,syn385837097
S003725,syn839870193
S000372,syn522625415
S003485,syn67657224
S003487,syn561104920
S003390,syn860761936
S001223,syn430436467
S001001,syn382017948
S000766,syn382017948
S002825,syn369435966
S002343,syn317711829
S000878,syn111314999
S001473,syn123807782
S001274,syn393017693
S003635,syn734819849
S003154,syn657204266
S001244,syn287345505
S002699,syn678243734
S001253,syn781779988
S003978,syn788411439
S002385,syn891306476
S001413,syn115114598
S001283,syn788411439
S003960,syn42286385
S003206,syn219894248
S001959,syn270195421
S001248,syn277663908
S001661,syn15111177
S002988,syn679319333
S003196,syn518087813
S000351,syn496113669
S000125,syn143604462
S003717,syn891306476
S003428,syn794683414
S001791,syn425341745
S002003,syn707944697
S001750,syn637462319
S003244,syn500193133
S002822,syn586260899
S003868,syn922994539
S000765,syn81860846
S001039,syn65346725
S000504,syn881092684
S002180,syn587316381
S001643,syn340950169
S003542,syn397005441
S000008,syn28261862
S000574,syn60739719
S002057,syn522625415
S000590,syn289104741
S000639,syn290543445
S001434,syn377983136
S000515,syn427397075
S000348,syn844194719
S000182,syn73546848
S002724,syn379226076
S001769,syn101891993
S000524,syn111314999
S002105,syn621809556
S003066,syn533561110
S003559,syn175155356
S001877,syn564677542
S000116,syn64811932
S003561,syn348622918
S001359,syn140833463
S000992,syn734819849
S003381,syn626742344
S001975,syn573794653
S001730,syn4695779
S001047,syn190343969
S003991,syn860761936
S001392,syn945369067
S003803,syn239885340
S003864,syn239885340
S003108,syn155671545
S002696,syn298077441
S000153,syn592017771
S003030,syn219894248
S003458,syn448385672
S002681,syn232265453
S002203,syn587316381
S003128,syn701516666
S002663,syn425341745
S003866,syn385837097
S003853,syn922994539
S000590,syn29448489
S000679,syn662499569
S001635,syn610724406
S003283,syn471994058
S003866,syn734819849
S000067,syn707944697
S000136,syn430476831
S000296,syn371193452
S002975,syn71255630
S001085,syn232825486
S003148,syn205256887
S000516,syn522625415
S001113,syn289104741
S000453,syn340950169
S001826,syn845734643
S001697,syn678243734
S003925,syn239885340
S002061,syn861411837
S001144,syn851448085
S002481,syn794683414
S003705,syn290543445
S001117,syn430476831
S003102,syn471994058
S001976,syn877811994
S001530,syn471994058
S002401,syn175155356
S003071,syn190343969
S003101,syn101891993
S003788,syn430476831
S001795,syn471994058
S002831,syn369435966
S002437,syn922994539
S000547,syn379226076
S003909,syn385837097
S002694,syn157488132
S002678,syn707944697
S001484,syn608226598
S003854,syn586260899
S003453,syn600550309
S000286,syn265406488
S002658,syn348622918
S001852,syn891306476
S002398,syn554722938
S001991,syn232825486
S003526,syn610724406
S000460,syn756864264
S003261,syn393017693
S003949,syn21623920
S003189,syn134954351
S003448,syn844194719
S002859,syn870439805
S002067,syn64811932
S000740,syn382017948
S001113,syn425341745
S002167,syn232825486
S000349,syn140833463
S003910,syn104736740
S002810,syn755081718
S000727,syn788411439
S001182,syn344756601
S000099,syn67657224
S003386,syn22951113
S000477,syn422177131
S001018,syn471994058
S000930,syn318698328
S003661,syn430436467
S003024,syn232825486
S000420,syn190343969
S002058,syn844194719
S001286,syn815886180
S003055,syn941141334
S003478,syn425341745
S002804,syn382017948
S000970,syn533561110
S003283,syn592017771
S002628,syn439678771
S003331,syn371193452
S001362,syn777615583
S002623,syn533561110
S003609,syn845734643
S000111,syn799106622
S003275,syn251852019
S000015,syn707944697
S001849,syn340950169
S001897,syn427397075
S003561,syn42286385
S001302,syn379226076
S001583,syn393017693
S000954,syn701516666
S001514,syn985572377
S001061,syn707944697
S001423,syn21623920
S003290,syn393017693
S000050,syn678243734
S002804,syn861411837
S003677,syn496113669
S002325,syn500193133
S002695,syn71255630
S003162,syn701516666
S001005,syn608226598
S002797,syn39911804
S000570,syn881092684
S003501,syn672650671
S003171,syn500193133
S000192,syn849558264
S002936,syn675013903
S000926,syn564677542
S003395,syn474513560
S002287,syn369435966
S001806,syn65346725
S003042,syn773921086
S000025,syn654167011
S003266,syn662499569
S003102,syn212568791
S000145,syn289104741
S001084,syn382017948
S003751,syn860761936
S000300,syn390329991
S003347,syn608226598
S001098,syn573794653
S001237,syn861411837
S002568,syn861979990
S003801,syn71255630
S003933,syn430476831
S002026,syn654167011
S003859,syn71255630
S001312,syn397005441
S000479,syn99814029
S002871,syn238168181
S002412,syn101891993
S002025,syn621555859
S001393,syn427397075
S000600,syn71255630
